round,per_round_epsilon,accuracy,precision,recall,f1_score,roc_auc,pr_auc,num_samples
1,2.0,0.45078918266814116,0.45078918266814116,1.0,0.621439955651029,0.5,0.45078918266814116,9947
1,2.0,0.46466271237559065,0.45223219357037375,0.8878233719892953,0.5992323323549333,0.5026827136344851,0.45212351064000866,9947
1,2.0,,,,,,,
2,2.0,,,,,,,
3,2.0,,,,,,,
4,2.0,,,,,,,
5,2.0,,,,,,,
6,2.0,,,,,,,
7,2.0,,,,,,,
8,2.0,,,,,,,
9,2.0,,,,,,,
10,2.0,0.5275962601789485,0.4495068107092532,0.21342551293487957,0.2894299107817934,0.4995332724909753,0.45051526342436155,9947
11,2.0,,,,,,,
12,2.0,,,,,,,
13,2.0,,,,,,,
14,2.0,,,,,,,
15,2.0,,,,,,,
16,2.0,,,,,,,
17,2.0,,,,,,,
18,2.0,,,,,,,
19,2.0,,,,,,,
20,2.0,0.4733085352367548,0.4553518628030751,0.8586083853702052,0.5951000850142979,0.5078324738492982,0.4547067380917575,9947
21,2.0,,,,,,,
22,2.0,,,,,,,
23,2.0,,,,,,,
24,2.0,,,,,,,
25,2.0,,,,,,,
26,2.0,,,,,,,
27,2.0,,,,,,,
28,2.0,,,,,,,
29,2.0,,,,,,,
30,2.0,0.45430783150698706,0.4513301711693133,0.9761373773416593,0.6172613171626005,0.5010652107283072,0.4513172617648473,9947
31,2.0,,,,,,,
32,2.0,,,,,,,
33,2.0,,,,,,,
34,2.0,,,,,,,
35,2.0,,,,,,,
36,2.0,,,,,,,
37,2.0,,,,,,,
38,2.0,,,,,,,
39,2.0,,,,,,,
40,2.0,0.4917060420227204,0.4596501128668172,0.7265834076717217,0.5630833045281715,0.512751707496853,0.45722738752703646,9947
41,2.0,,,,,,,
42,2.0,,,,,,,
43,2.0,,,,,,,
44,2.0,,,,,,,
45,2.0,,,,,,,
46,2.0,,,,,,,
47,2.0,,,,,,,
48,2.0,,,,,,,
49,2.0,,,,,,,
50,2.0,0.5412687242384638,0.4393241167434716,0.06378233719892953,0.11139240506329114,0.49848461542355404,0.4500579139673259,9947
1,2.0,,,,,,,
2,2.0,,,,,,,
3,2.0,,,,,,,
4,2.0,,,,,,,
5,2.0,,,,,,,
6,2.0,,,,,,,
7,2.0,,,,,,,
8,2.0,,,,,,,
9,2.0,,,,,,,
10,2.0,0.5156328541268724,0.45361111111111113,0.3641837644959857,0.4040079168728352,0.502418446991463,0.4517673454342875,9947
11,2.0,,,,,,,
12,2.0,,,,,,,
13,2.0,,,,,,,
14,2.0,,,,,,,
15,2.0,,,,,,,
16,2.0,,,,,,,
17,2.0,,,,,,,
18,2.0,,,,,,,
19,2.0,,,,,,,
20,2.0,0.5326229013772997,0.4528840662478584,0.17685102586975915,0.25437048917401767,0.5007447514485167,0.45115966497829185,9947
21,2.0,,,,,,,
22,2.0,,,,,,,
23,2.0,,,,,,,
24,2.0,,,,,,,
25,2.0,,,,,,,
26,2.0,,,,,,,
27,2.0,,,,,,,
28,2.0,,,,,,,
29,2.0,,,,,,,
30,2.0,0.5312154418417613,0.459520578923564,0.22658340767172166,0.30351008215085884,0.5039195639859615,0.45276757218542696,9947
31,2.0,,,,,,,
32,2.0,,,,,,,
33,2.0,,,,,,,
34,2.0,,,,,,,
35,2.0,,,,,,,
36,2.0,,,,,,,
37,2.0,,,,,,,
38,2.0,,,,,,,
39,2.0,,,,,,,
40,2.0,0.5159344525987735,0.44744363289933314,0.31422836752899197,0.3691864273549063,0.4978897858482897,0.4497825791396286,9947
41,2.0,,,,,,,
42,2.0,,,,,,,
43,2.0,,,,,,,
44,2.0,,,,,,,
45,2.0,,,,,,,
46,2.0,,,,,,,
47,2.0,,,,,,,
48,2.0,,,,,,,
49,2.0,,,,,,,
50,2.0,0.5393586005830904,0.4137323943661972,0.0524085637823372,0.09303246239113222,0.4957265224183515,0.4488470896148502,9947
1,2.0,,,,,,,
2,2.0,,,,,,,
3,2.0,,,,,,,
4,2.0,,,,,,,
5,2.0,,,,,,,
6,2.0,,,,,,,
7,2.0,,,,,,,
8,2.0,,,,,,,
9,2.0,,,,,,,
10,2.0,0.4509902483160752,0.45084029385126295,0.9991079393398751,0.621316136190278,0.5001031184892676,0.4508402482569872,9947
11,2.0,,,,,,,
12,2.0,,,,,,,
13,2.0,,,,,,,
14,2.0,,,,,,,
15,2.0,,,,,,,
16,2.0,,,,,,,
17,2.0,,,,,,,
18,2.0,,,,,,,
19,2.0,,,,,,,
20,2.0,0.5440836433095405,0.39920948616600793,0.022524531668153436,0.0426430230103441,0.49735049574438245,0.44962737416084514,9947
21,2.0,,,,,,,
22,2.0,,,,,,,
23,2.0,,,,,,,
24,2.0,,,,,,,
25,2.0,,,,,,,
26,2.0,,,,,,,
27,2.0,,,,,,,
28,2.0,,,,,,,
29,2.0,,,,,,,
30,2.0,0.5492108173318588,0.0,0.0,0.0,0.5,0.45078918266814116,9947
31,2.0,,,,,,,
32,2.0,,,,,,,
33,2.0,,,,,,,
34,2.0,,,,,,,
35,2.0,,,,,,,
36,2.0,,,,,,,
37,2.0,,,,,,,
38,2.0,,,,,,,
39,2.0,,,,,,,
40,2.0,0.5475017593244195,0.3508771929824561,0.0044603033006244425,0.008808632459810615,0.49884373393111037,0.45034354489077416,9947
41,2.0,,,,,,,
42,2.0,,,,,,,
43,2.0,,,,,,,
44,2.0,,,,,,,
45,2.0,,,,,,,
46,2.0,,,,,,,
47,2.0,,,,,,,
48,2.0,,,,,,,
49,2.0,,,,,,,
50,2.0,0.5329244998492008,0.45607375271149675,0.1875557537912578,0.26580278128950696,0.5020695341934542,0.45178157847266376,9947
1,5.0,0.49582788780536846,0.44718519992042965,0.5013380909901873,0.4727158027547051,0.49490696311885174,0.4485414610537414,9947
1,5.0,,,,,,,
2,5.0,,,,,,,
3,5.0,,,,,,,
4,5.0,,,,,,,
5,5.0,,,,,,,
6,5.0,,,,,,,
7,5.0,,,,,,,
8,5.0,,,,,,,
9,5.0,,,,,,,
10,5.0,0.4524982406755806,0.4512763371150729,0.9935325602140945,0.6206464196154918,0.5009762169410532,0.45127330751063394,9947
11,5.0,,,,,,,
12,5.0,,,,,,,
13,5.0,,,,,,,
14,5.0,,,,,,,
15,5.0,,,,,,,
16,5.0,,,,,,,
17,5.0,,,,,,,
18,5.0,,,,,,,
19,5.0,,,,,,,
20,5.0,0.4509902483160752,0.45087983911513324,1.0,0.6215260932843579,0.5001830496064433,0.45087983911513324,9947
21,5.0,,,,,,,
22,5.0,,,,,,,
23,5.0,,,,,,,
24,5.0,,,,,,,
25,5.0,,,,,,,
26,5.0,,,,,,,
27,5.0,,,,,,,
28,5.0,,,,,,,
29,5.0,,,,,,,
30,5.0,0.45078918266814116,0.45078918266814116,1.0,0.621439955651029,0.5,0.45078918266814116,9947
31,5.0,,,,,,,
32,5.0,,,,,,,
33,5.0,,,,,,,
34,5.0,,,,,,,
35,5.0,,,,,,,
36,5.0,,,,,,,
37,5.0,,,,,,,
38,5.0,,,,,,,
39,5.0,,,,,,,
40,5.0,0.46647230320699706,0.44981095255518966,0.8224799286351472,0.581565875581487,0.4983747407545661,0.44998439260414924,9947
41,5.0,,,,,,,
42,5.0,,,,,,,
43,5.0,,,,,,,
44,5.0,,,,,,,
45,5.0,,,,,,,
46,5.0,,,,,,,
47,5.0,,,,,,,
48,5.0,,,,,,,
49,5.0,,,,,,,
50,5.0,0.5476022921483864,0.32608695652173914,0.003345227475468332,0.006622516556291391,0.49883534483786235,0.45037202535498416,9947
1,0.1,,,,,,,
2,0.1,,,,,,,
3,0.1,,,,,,,
4,0.1,,,,,,,
